Service Month,Health Authority Code,Health Authority Name,Disease,Distinct Client Count,Dispense Count,Dispensed Days Supplied,Dispensed Tablets,Distinct Prescriber Count
2017-01,1,Interior,Other,605,854,36795,59358,331
2017-01,1,Interior,RA/Lupus,885,1216,54820,90208.5,338
2017-01,1,Interior,Total,1490,2070,91615,149566.5,533
2017-01,2,Fraser,Other,938,1403,57166,91385,420
2017-01,2,Fraser,RA/Lupus,1462,2097,92090,148792.5,495
2017-01,2,Fraser,Total,2400,3500,149256,240177.5,751
2017-01,3,Vancouver Coastal,Other,485,662,32551,48871,241
2017-01,3,Vancouver Coastal,RA/Lupus,714,928,50304,76346.5,292
2017-01,3,Vancouver Coastal,Total,1199,1590,82855,125217.5,457
2017-01,4,Vancouver Island,Other,586,735,36204,60881.5,294
2017-01,4,Vancouver Island,RA/Lupus,590,728,38160,62800.5,309
2017-01,4,Vancouver Island,Total,1176,1463,74364,123682,505
2017-01,5,Northern,Other,210,245,12069,18919,133
2017-01,5,Northern,RA/Lupus,257,316,13876,23245,172
2017-01,5,Northern,Total,467,561,25945,42164,243
2017-01,9,Other/Unknown,Other,173,183,15913,28978,16
2017-01,9,Other/Unknown,RA/Lupus,4,7,178,268,4
2017-01,9,Other/Unknown,Total,177,190,16091,29246,19
2017-01,Total,Total,Other,2997,4082,190698,308392.5,1340
2017-01,Total,Total,RA/Lupus,3911,5292,249428,401661,1473
2017-01,Total,Total,Total,6908,9374,440126,710053.5,2302
2017-02,1,Interior,Other,579,807,34923,57912,311
2017-02,1,Interior,RA/Lupus,870,1153,53656,88314,344
2017-02,1,Interior,Total,1449,1960,88579,146226,539
2017-02,2,Fraser,Other,907,1290,55353,86811.5,445
2017-02,2,Fraser,RA/Lupus,1359,1950,84100,135443,517
2017-02,2,Fraser,Total,2266,3240,139453,222254.5,784
2017-02,3,Vancouver Coastal,Other,460,634,30785,43804.5,238
2017-02,3,Vancouver Coastal,RA/Lupus,660,832,45297,65885,277
2017-02,3,Vancouver Coastal,Total,1120,1466,76082,109689.5,442
2017-02,4,Vancouver Island,Other,531,662,32193,53659,271
2017-02,4,Vancouver Island,RA/Lupus,554,658,33751,57045.5,287
2017-02,4,Vancouver Island,Total,1085,1320,65944,110704.5,477
2017-02,5,Northern,Other,196,220,11296,18618,127
